spot_id,name_local,name_ko,translation_status,description,areas,categories,source_url,disposition,classification,reason
27310,呑山観音寺（のみやまかんのんじ）,,official_korean_unavailable,呑山観音寺は「のみやまさん」の愛称で親しまれている高野山真言宗の別格本山です。呑山観音寺の山号になっている鉾立山の由来は諸説ありますが、一説には神代の時代、海津見神（ﾜﾀﾞﾂﾐﾉｶﾐ）の娘である玉依姫（ﾀﾏﾖﾘﾉﾋﾒ）が、神武天皇の尊父である彦波剣武鵜茅葺不合尊（ﾋｺﾞﾅﾐｻﾀｹｳｶﾞﾔﾌｷｱｴｽﾞﾉﾐｺﾄ）に嫁いだ際に鎮座する山の高さを見比べるため頂上に鉾をつき立てたためといわれています。...,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27310,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27253,唐津街道 原町（からつかいどう はるまち）,,official_korean_unavailable,旧唐津街道の宿駅、筑前21宿のひとつ。街道筋に残る歴史的な景観だけでも見ものですが、通り沿いには古美術商などユニークなお店も点在しています。街道全体がひとつの芸術と感じられるような町並みです。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27253,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27210,四王寺県民の森（しおうじけんみんのもり）,,official_korean_unavailable,四王寺県民の森は、自然公園となっており、春の花、初夏の新緑、秋の紅葉や野鳥など、森の四季を感じながら森林浴を楽しむことができ、森林について学べる「展示館」や「子供の国広場」、「焼米ヶ原広場」などあり、家族連れで楽しめる憩いの場もあります。 また、特別史跡大野城跡などの史跡にも恵まれており、歴史のロマンを感じながら散策を楽しむ事ができます。,福岡市近郊,自然・景観|レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27210,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27302,在自唐坊跡展示館（あらじとうぼうあとてんじかん）,,official_korean_unavailable,１２世紀に日宋貿易が行われていたころ中国から来た人の住んでいた場所の遺跡。 津屋崎小学校の校舎の中にあります。 福津市教育委員会文化財課に電話して日程調整を行ってからお越しください。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27302,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27192,大宰府政庁跡,,official_korean_unavailable,“都府楼跡”の名で親しまれている大宰府跡は九州全体を治める役所大宰府があった所である。７世紀の後半から奈良・平安時代を通じて九州を治め、わが国の西の守り役として防衛を、また外国との交渉の窓口として重要な役割を果たしてきた。現在も大宰府跡の中心にはその大きさをしのばせる立派な礎石が残り、そこを中心に門や回廊、そして周辺の役所跡が復元され、公園となっている。,福岡市近郊,歴史・神社・仏閣|ファミリー,https://yokanavi.com/spots/27192,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27305,大峰山自然公園（おおみねやましぜんこうえん）,,official_korean_unavailable,津屋崎千軒の西に位置する高さ114ｍの大峰山の山頂周辺の海と山に囲まれた景勝地。 山頂には、日本海海紀念碑があり、街並みや水平線を一望できる。遊歩道やキャンプ場、東郷神社などがある。春は桜が美しい。 空気が澄んでいるときは、沖ノ島が見える。,福岡市近郊,自然・景観|レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27305,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
157911,大興善寺（つつじ寺）,,official_korean_unavailable,この寺の開創は古く、養老元年（７１７年）行基によって開かれた由緒ある寺です。本尊は、行基の作と伝えられる木造１１面観音像で秘仏となっており、その他に国の重要文化財に指定されています。春は、７万５千㎡の庭園につつじが咲き乱れ、秋（10月中下旬～11月）には、紅葉の絶好の写真スポットとなり、多くの観光客が訪れます。 また、春と秋の開園期間中には、駐車場で、「きやま門前市」が開かれ、次回は、...,福岡市近郊,歴史・神社・仏閣|自然・景観,https://yokanavi.com/spots/157911,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27011,大野城いこいの森,,official_korean_unavailable,牛頸ダムのダム湖を中心に配置された、水と緑の溢れる施設。硬式野球もできるスポーツ公園、芝生や小川が美しい水辺公園、遊具の充実した眺望抜群の中央公園、森の中のせせらぎの流れるキャンプ場などがある。,福岡市近郊,レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27011,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27191,大野城跡,,official_korean_unavailable,太宰府市・大野城市・宇美町の2市1町にまたがる四王寺山にあります。山全体を全長約8ｋｍに及ぶ土塁（一部は石垣）で囲んだ日本最古の古代山城です。665年に大宰府政庁防衛施設の一つとして築かれました。築造には百済亡命貴族の指導があったと記録されています。山城の中には礎石建物跡（約70棟）や城門跡（9箇所）確認されており、当時の城の様子をみることができます。また「日本名城100選」にも選ばれており...,福岡市近郊,歴史・神社・仏閣|レジャー・アウトドア,https://yokanavi.com/spots/27191,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27181,天拝山歴史自然公園（てんぱいさんれきししぜんこうえん）,,official_korean_unavailable,菅原道真公ゆかりの天拝山のふもとに、天拝広場、菖蒲園、万葉植物園、水上ステージなどを整備して、歴史と自然にふれあえる公園としたもの。あわせて天拝山山頂までの登山道も整備され、利用者で賑わっている。,福岡市近郊,レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27181,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
