anchor_id,city_name,anchor_name,product_id,product_title,product_url,title_evidence_text,detail_evidence_level,positive_alias_hits,negative_alias_hits,neutral_alias_hits,positive_evidence_excerpt,negative_evidence_excerpt,detail_status
official-hiroshima-facility-14,히로시마,広島城,4192026,"히로시마 일일관광 - 미야지마, 평화공원, 원폭돔, 히로시마성",https://experiences.myrealtrip.com/products/4192026,히로시마성,exclusion_only,,히로시마 성 | 히로시마성,히로시마 성 | 히로시마성,,"❌ 불포함 사항: • - 항공, 숙박 일체 비용 - 식사 및 개인 비용 - 여행자 보험 - 입장료(히로시마 성 약 1,500엔) - 온천입욕료 (1,000엔) - 수건 미지참시 (400엔)",ok_cached
official-hiroshima-facility-15,히로시마,広島平和記念資料館,5905368,[히로시마] 평화기념관 + 미야지마 이쓰쿠시마 신사 :: 유네스코 등재지 1일 투어,https://experiences.myrealtrip.com/products/5905368,히로시마평화기념관,detail_unavailable,,,,,,ok_cached
