rank,city,official_name_ja,display_name_ko,official_name_en,anchor_type,official_source_type,classification,mcp_one_to_one_status,mcp_product_count,gap_score,matched_product_titles,matched_product_urls,evidence_levels,tour_detail_evidence_levels,evidence_policies,match_evidence,follow_up_action
303,히로시마,縮景園,슛케이엔,,place,tourism_facility,부분 상품화 자산,1대다 대응 확인,2,0.3,히로시마/미야지마 7시간 프라이빗 투어 (가이드 포함) | 히로시마 투어 (현지 음식 시식 포함),https://experiences.myrealtrip.com/products/5542718 | https://experiences.myrealtrip.com/products/5542744,tour_detail_confirmed | tour_detail_confirmed,해당 없음,투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다.,전체 일정 · 코스1 · 슈케이엔 정원: 슈케이엔 정원 | ✅ 포함 사항: • • 슈케이엔 정원 입장료 • 영어 구사 가능한 가이드 • 3시간 로컬 가이드 투어 • 6-8종 음식 시식 • 2종 음료 (주류 혹은 음료),연결 상품 유지/확장 검토
315,히로시마,広島城,히로시마성,,place,tourism_facility,부분 상품화 자산,1대다 대응 확인,2,0.3,"히로시마/미야지마 7시간 프라이빗 투어 (가이드 포함) | 히로시마 일일관광 - 미야지마, 평화공원, 원폭돔, 히로시마성",https://experiences.myrealtrip.com/products/5542718 | https://experiences.myrealtrip.com/products/4192026,tour_detail_confirmed | tour_detail_confirmed,exclusion_only,투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다.,전체 일정 · 코스1 · 히로시마 성: 히로시마 성 | 상세 코스: 16:30 히로시마 성 도착 및 견학,연결 상품 유지/확장 검토
316,히로시마,広島平和記念資料館,히로시마 평화기념자료관,,place,tourism_facility,검증된 대표 경험,1대다 대응 확인,3,0.0,히로시마 & 미야지마 일일 투어 | 히로시마 & 미야지마 일일 투어 (히로시마 출발) | [히로시마] 평화기념관 + 미야지마 이쓰쿠시마 신사 :: 유네스코 등재지 1일 투어,https://experiences.myrealtrip.com/products/5542730 | https://experiences.myrealtrip.com/products/5542738 | https://experiences.myrealtrip.com/products/5905368,tour_detail_confirmed | tour_detail_confirmed | tour_detail_confirmed,detail_unavailable,투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다. | 투어 상세 일정·소개·포함사항에서 실제 장소 방문을 직접 확인했다.,"전체 일정 · 코스1 · 히로시마 평화기념자료관 (1시간 소요): 히로시마 평화기념자료관 (1시간 소요) 태평양 전쟁이 끝난 후 1949년에 설립된 대규모 공원으로, 평화의 상징으로 수많은 방문객이 찾고 있습니다. | 전체 일정 · 코스1 · 14:30 히로시마 평화기념자료관: 14:30 히로시마 평화기념자료관 | 상품 소개: 평화 기념 박물관 방문; 포함사항: 박물관 입장료",번역명/상세일정/파트너 후보 검토
331,히로시마,おりづるタワー,오리즈루 타워,,place,tourism_facility,부분 상품화 자산,1대다 대응 확인,2,0.3,히로시마 오리즈루 타워 전망대 입장권 (종이학 투입 체험 포함) | 히로시마 오리즈루 타워 입장권,https://experiences.myrealtrip.com/products/6082904 | https://experiences.myrealtrip.com/products/5869281,ticket_product_confirmed | ticket_product_confirmed,해당 없음,입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다. | 입장권은 상품 자체가 해당 시설 이용권이므로 제목/상품명 매칭을 강한 근거로 본다.,오리즈루 타워 | 오리즈루 타워,연결 상품 유지/확장 검토
