source_record_id,name,name_kana,name_ko,translation_source,translation_status,municipality,address,lat,lng,disposition,classification,reason,parent_record_id,parent_name
0000007723,手仕事雑貨屋 風土,テシゴトザッカヤ フウド,테시고토자카야 후우도,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区紫野西御所田町12451,35.040872,135.751039,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000000687,高桐院,コウトウイン,코토인,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区紫野大徳寺町26665,35.043172,135.743204,primary,religious_site,religious suffix confirmed by description,,
0000006097,長久堂,チョウキュウドウ,초큐우도,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂畔勝町35490,35.055291,135.766823,needs_review,ambiguous_facility,no high-confidence place or exclusion rule matched,,
0000003476,しょうざん／染織工芸館・茶花園・体験教室,ショウザン／センショクコウゲイカン・チャバナエン・タイケンキョウシツ,쇼잔 센쇼쿠공예칸 차바나엔 타이켄교시쓰,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区衣笠鏡石町47,35.049674,135.733142,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000003708,社家,シャケ,샤케,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂神社の南側あたり,35.057788,135.754425,primary,district_or_street,named district confirmed by description,,
0000000233,深泥池,ミドロガイケ（ミゾロガイケ）,미도로가이케(미조로가이케),official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂,35.057771,135.768309,primary,nature_or_park,natural-feature suffix confirmed by description,,
0000009496,大仙院,ダイセンイン,다이센인,curated_standard_translation,reviewed,京都市北区,京都府京都市北区紫野大徳寺町19725,35.044584,135.745952,primary,religious_site,religious suffix confirmed by description,,
0000000255,大田神社,オオタジンジャ,오타신사,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂本山340,35.059830,135.758501,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000007797,表千家北山会館,オモテセンケキタヤマカイカン,오모테센케키타야마카이칸,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂桜井町61,35.051269,135.761942,needs_review,visitor_cultural_candidate,"visitor-facing facility, but hall/center names may mix museums, shops and public services",,
0000003470,賀茂別雷神社（上賀茂神社）,カモワケイカヅチジンジャ（カミガモジンジャ）,카모와케이카즈치신사(카미가모신사),official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂本山339,35.059293,135.752531,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
