都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,対象者別,カテゴリー,,追加URL,公開URLより,開始日,終了日,参加申込終了日
341002,1023,広島県,広島市,広島城アカデミック講座・生涯学習支援講座「鉄と広島デルタ、そして広島城」（広島城）,,,2025/3/16,2025/3/16,13時30分～17時00分,,,"広島城が立地する広島デルタの成り立ちと太田川流域の製鉄との関係を探ります。
※いきいきポイント対象
対象：高校生以上
定員：100名（申込多数の場合は抽選）
参加費：無料
申込：往復はがきに氏名・住所・電話番号を明記の上、広島城アカデミック講座までお申込みください。（はがき1枚につき1名有効）
締切：2月28日(金)必着",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区袋町6‐36　合人社ひと・まちプラザ　5階研修室,,,,,,,,2025/2/28,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/415917.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/415917.html,2025/3/16,2025/3/16,2025/2/28
341002,1093,広島県,広島市,【小学生工作教室】 「リモコンアストラムライン」（ヌマジ交通ミュージアム）,,,2025/3/8,2025/3/8,9時30分～　約3時間,,,"対象：小学1～6年生（小学4年生以下は保護者の同伴が必要）
材料費：600円
定員：各12組 （1組の人数は保護者を含めて4人まで）　　
申込み：往復はがきかwebで。往復はがきでの申込みは、実施日・工作名・氏名・学年と年齢・保護者名・住所・電話番号をご記入の上、2月26日(水)必着でヌマジ交通ミュージアムまでお送りください。応募者多数の場合は抽選。",有料,,市民局 文化スポーツ部 文化振興課,,,,広島市安佐南区長楽寺2-12-2　ヌマジ交通ミュージアム　1階クラフトルーム,,,,,,,,2025/2/26,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/415664.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/415664.html,2025/3/8,2025/3/8,2025/2/26
341002,1109,広島県,広島市,【ゲーム＆実験体験】（ヌマジ交通ミュージアム）　　,,,2025/2/22,2025/2/24,(1)10時00分～12時00分　(2)13時00～15時30分（受付は各回終了30分前まで）,,,"(1)ピンポン玉入れゲーム
　ピンポン玉5個を転がして得点を競うゲーム
(2)ステーションストップゲーム
　牛乳パック新幹線を坂道から転がして駅にぴったり止められるかを競うゲーム
(3)サイエンスコーナー
　ドライヤーの風でものを浮かせてみよう
受付：各回終了３０分前まで
参加費：無料
対象：幼児～小学生と保護者",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市安佐南区長楽寺2-12-2　ヌマジ交通ミュージアム　1階多目的ホール,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/415634.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/415634.html,2025/2/22,2025/2/24,
341002,1488,広島県,広島市,【みんなで遊ぼう！ビークルパーク】クラフト体験（ヌマジ交通ミュージアム）,,,2025/2/22,2025/2/24,(1)11時00分～　(2)13時00分～　(3)14時30分～（各回45分）,,,"22日(土)500系
23日(日)N700系
24日(月祝)ドクターイエロー

対象：幼児～小学生と保護者
材料費：100円
定員：各回15組（1組保護者含めて最大6人まで）　
※各回開始30分前より整理券配布。",有料,,市民局 文化スポーツ部 文化振興課,,,,広島市安佐南区長楽寺2-12-2　ヌマジ交通ミュージアム　1階多目的ホール,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/414448.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/414448.html,2025/2/22,2025/2/24,
341002,1489,広島県,広島市,ネイチャーサイエンス「江波山で春をさがそう！」（江波山気象館）,,,2025/3/23,2025/3/23,14時00分～15時30分,,,"江波山公園内の自然を素材に観察やゲームを行います。※天候により館内で実施します。
参加費：50円
対象：どなたでも（小学生以下は保護者同伴）
定員：先着6組（1組5人まで）
申込み：2月25日(火)から江波山気象館のHPで受付。",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/414446.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/414446.html,2025/3/23,2025/3/23,
341002,1490,広島県,広島市,【サイエンスワークショップ】「スライダー貯金箱」（江波山気象館）　　,,,2025/3/9,2025/3/9,(1)11時00分～　(2)14時00分～,,,"コインの転がる様子が楽しめる貯金箱を作ります。
対象：どなたでも
材料費：100円
定員：各回先着12人
申込：2月25日(火)から江波山気象館のホームページで受付",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/414445.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/414445.html,2025/3/9,2025/3/9,
341002,1491,広島県,広島市,【サイエンスショー】「パチパチ静電気のひみつ」（江波山気象館）　　　   　　　　   　　　　　　　　　,,,2025/2/23,2025/2/24,(1)11時00分～11時30分　(2)14時00分～14時30分,,,"静電気を使ってビニールひものクラゲを浮かべる実験等をします。
対象：どなたでも
定員：各回先着40人",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/414439.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/414439.html,2025/2/23,2025/2/24,
341002,1499,広島県,広島市,【大人向け教室】「大人の染色体験」（広島市郷土資料館）,,,2025/2/22,2025/2/22,13時00分～15時00分,,,"透け感のある生地（50cm×170cm）を藍で染めておしゃれなストールにします。
対象：18歳以上
参加費：1800円（ストール代を含む）
定員：20名。応募者多数の場合は抽選。
申し込み：2月1日(土曜日)から5日(水曜日)に電話かFaxで郷土資料館まで。",有料,,市民局 文化スポーツ部 文化振興課,,,,広島市南区宇品御幸二丁目6-20　広島市郷土資料館　,,,,,,,,2025/2/5,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/414425.html,,どなたでも,イベント、子ども、文化・芸術、講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/46/414425.html,2025/2/22,2025/2/22,2025/2/5
341002,2224,広島県,広島市,【安芸区】レディース健康教室を開催します,,,2025/3/5,2025/3/7,"第1部:3月5日（水曜日）10時00分～12時00分
第2部:3月7日（金曜日）10時00分～12時00分",,,"【対象】
安芸区在住の女性

【内容】
第1部：簡単にできるヘルシーランチ（講話、調理実演、試食）先着12名
第2部：大人のヨガ教室　先着20名

＊1部、2部のどちらか一方のみの予約でも可です。
＊託児付き（各部先着4名）

【持ち物】
第1部：材料費700円、エプロン、三角巾、手拭き、食器用布巾、マスク、飲み物
第2部：バスタオル、飲み物、タオル
各 部：お持ちの方は「高齢者いきいき活動ポイント手帳」",有料,,安芸区役所 厚生部 地域支えあい課,,,,安芸区総合福祉センター　第1部：栄養相談室（2階）　第2部：乳幼児相談室（2階）,,,,,,,,2025/2/28,,必要（期間あり）,https://www.city.hiroshima.lg.jp/site/akiku/411699.html,,どなたでも,講演・講座・セミナー、健康・保健,,https://www.city.hiroshima.lg.jp,/site/akiku/411699.html,2025/3/5,2025/3/7,2025/2/28
341002,2383,広島県,広島市,2025男女共同参画セミナーの開催,,,2025/2/22,2025/2/22,13時30分～16時,,,"第1部　講演
・テーマ：セクシュアル・マイノリティの選択～家族の現状
・講　師：広島修道大学人文学部教授　河口　和也氏
第2部　対談
・同性のカップルを迎え、講師の河口さんとお二人の家族の選択について対談します。",無料,,市民局 人権啓発部 男女共同参画課,,,,ＪＭＳアステールプラザ4階　大会議室Ａ・Ｂ,,,,,,,,2025/2/22,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/53/201789.html,,どなたでも,講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/soshiki/53/201789.html,2025/2/22,2025/2/22,2025/2/22
