anchor_id,city_id,city_name,country_code,anchor_name,anchor_name_local,anchor_name_en,anchor_type,official_source_type,source_dataset,source_record_id,source_url,description,category,address,lat,lng,start_date,end_date,price_text,evidence_text,confidence,review_status,match_ready,notes
official-kyoto-facility-0000003502,jp-kyoto,교토,JP,京都タワー,京都タワー,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003502,https://www.keihanhotels-resorts.co.jp/kyoto-tower/,京都駅正面にそびえる京都タワーは鉄骨を使わないモノコック（応力外被）構造。地上100mにある展望室からは京都の四季折々の景色を楽しむことはもちろん、夜景を眺めることもできる。また、京都タワービル地下3階には大浴場があり、ゆったりと旅の疲れを癒やす、おすすめのスポットです。,관광시설,京都府京都市下京区烏丸通七条下る東塩小路町721-1 JR京都駅正面,34.987554,135.759218,,,"京都タワー展望室入場料 大人 800円 高校生 650円 小・中学生 550円 幼児 150円京都タワー大浴場～YUU～入浴料 大人 770円 小人（小学生以下）450円 回数券5枚綴り 3,400円（有効期限6ヶ月） 土曜日、日曜日、祝日は大人910円※フェイスタオル1枚無料貸出",京都タワー / 京都駅正面にそびえる京都タワーは鉄骨を使わないモノコック（応力外被）構造。地上100mにある展望室からは京都の四季折々の景色を楽しむことはもちろん、夜景を眺めることもできる。また、京都タワービル地下3階には大浴場があり、ゆったりと旅の疲れを癒やす、おすすめのスポットです。 / 各線「京都」駅下車、徒歩2分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000003725,jp-kyoto,교토,JP,角屋もてなしの文化美術館,角屋もてなしの文化美術館,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003725,http://sumiyaho.sakura.ne.jp,角屋は揚屋建築唯一の遺構で、京の六大花街の中で最も古い歴史をもつ島原にあって、江戸文化の華やかさを今に伝えている。（重要文化財）美術館では与謝蕪村のふすま絵などの美術品を随時展示、公開している。また、特別公開の2階は螺鈿（らでん）細工が見事な「青貝の間（あおがいのま）」や扇が天井を彩る「扇の間」など、当時の最高の技巧を凝らした座敷がある。,관광시설,京都府京都市下京区西新屋敷揚屋町32,34.992148,135.743160,,,"1階常設展 一般 1,000円 中学・高校生 800円 小学生 500円2階の特別公開の座敷の見学は要予約、別途入場料が必要 大人 800円 中学・高校生 600円 小学生以下入場不可",角屋もてなしの文化美術館 / 角屋は揚屋建築唯一の遺構で、京の六大花街の中で最も古い歴史をもつ島原にあって、江戸文化の華やかさを今に伝えている。（重要文化財）美術館では与謝蕪村のふすま絵などの美術品を随時展示、公開している。また、特別公開の2階は螺鈿（らでん）細工が見事な「青貝の間（あおがいのま）」や扇が天井を彩る「扇の間」など、当時の最高の技巧を / JR嵯峨野線「丹波口」駅下車、徒歩7分市バス「島原口」下車、徒歩10分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000007725,jp-kyoto,교토,JP,田中長奈良漬店,田中長奈良漬店,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000007725,http://www.tanakacho.co.jp/,寛政元年（1789）創業。都錦味淋漬（なら漬）の製造販売の専門店。元々は、この場所で味淋醸造を本業としていたが、味淋醸造は戦前までで止め、約2年間の歳月と手間をかけ、味淋特有のうま味とコクのある京のなら漬=都錦味淋漬を開発し、現在に伝えている。,관광시설,京都府京都市下京区綾小路通烏丸西入童侍者町160,35.002312,135.758808,,,都錦味淋漬（なら漬）うり、すいか、きゅうり、なす（各180g入り）900円（税別）※カード利用可,田中長奈良漬店 / 寛政元年（1789）創業。都錦味淋漬（なら漬）の製造販売の専門店。元々は、この場所で味淋醸造を本業としていたが、味淋醸造は戦前までで止め、約2年間の歳月と手間をかけ、味淋特有のうま味とコクのある京のなら漬=都錦味淋漬を開発し、現在に伝えている。 / 地下鉄烏丸線「四条」駅下車阪急京都線「烏丸」駅下車市バス「四条烏丸」下車、徒歩2分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000007552,jp-kyoto,교토,JP,ひと・まち交流館 京都,ひと・まち交流館 京都,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000007552,http://www.hitomachi-kyoto.jp,「市民活動総合センター」、「福祉ボランティアセンター」、「長寿すこやかセンター」、「景観・まちづくりセンター」の4つのセンターから成る複合施設であり、福祉やまちづくりをはじめとする市民の自主的な公益活動を支え、パートナーシップによる市民参加型社会を支援するための施設。,관광시설,京都府京都市下京区西木屋町上ノ口上る梅湊町83-1,34.993257,135.765110,,,会議室及び和室は各センターの設置目的に合致する活動のための利用に貸出す。（会議室の利用に関する詳細については交流館へ問合せのこと）,ひと・まち交流館 京都 / 「市民活動総合センター」、「福祉ボランティアセンター」、「長寿すこやかセンター」、「景観・まちづくりセンター」の4つのセンターから成る複合施設であり、福祉やまちづくりをはじめとする市民の自主的な公益活動を支え、パートナーシップによる市民参加型社会を支援するための施設。 / 市バス「河原町正面」下車京阪本線「清水五条」駅下車、徒歩8分地下鉄烏丸線「五条」駅下車、徒歩10分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000006743,jp-kyoto,교토,JP,有限会社京都サイクリングツアープロジェクト（KCTP）,有限会社京都サイクリングツアープロジェクト（KCTP）,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000006743,http://www.kctp.net/,〈レンタサイクル〉サイクルポートシステムのレンタサイクル。下記の市内9箇所のサイクルターミナルからもレンタルできる。・京都駅サイクルターミナル〒600-8235 京都市下京区油小路塩小路下る東油小路町522-13・京都駅八条口サイクルターミナル〒601-8002 京都市南区東九条上殿田町6番地・伏見サイクルターミナル〒612-0029 京都市伏見区深草西浦町4丁目59番地（アーバンホテル京都内）・御所南サイクルターミナル〒604-0867 京都市中京区常真横町186（RAKURO京都内）・二条駅サイクルターミナル〒604-8411 京都市中京区聚楽廻南町25-5（アーバンホテル京都二条プレミアム内）・四条堀川サイクルターミナル〒600-8481 京都市下京区四条堀川町272-6（アーバンホテル京都四条プレミアム内）・五条堀川サイクルターミナル〒600-8480 京都市下京区五条通油小路西入北側小泉町87番地（アーバンホテル京都五条プレミアム内）・ホテルエミオンサイクルターミナル〒600-8842 京都市下京区朱雀堂ノ口町20-4（ホテルエミオン京都内）・堀川下長者町サイクルターミナル〒602-8056 京都市上京区東堀川通下長者町下る3-7（ホテルルビノ京都堀川内）,관광시설,京都府京都市下京区油小路通塩小路下ル東油小路町552-13,,,,,"一般自転車 1,000円～マウンテンバイク 1,500円～電動アシスト自転車 2,300円～小型自転車 1,300円～子供用自転車 1,000円",有限会社京都サイクリングツアープロジェクト（KCTP） / 〈レンタサイクル〉サイクルポートシステムのレンタサイクル。下記の市内9箇所のサイクルターミナルからもレンタルできる。・京都駅サイクルターミナル〒600-8235 京都市下京区油小路塩小路下る東油小路町522-13・京都駅八条口サイクルターミナル〒601-8002 京都市南区東九条上殿田町6番地・伏見サイクルターミナル〒 / 〈京都駅サイクルターミナル〉各線「京都」駅西洞院口（ビックカメラ内）から徒歩2分各線「京都」駅中央口から徒歩5分〈京都駅八条口サイクルターミナル〉各線「京都」駅八条口から徒歩3分〈伏見サイクルターミナル〉JR奈良線「稲荷」駅下車、徒歩10分京阪本線「龍谷大前深草」または「藤森」駅下車、徒歩5分〈御所南サイクルターミナル〉地下鉄烏丸線「丸太町」駅下車、4番出口から徒歩2分市バス「烏丸丸太町」下車、徒歩2分〈二条駅サイクルターミナル〉地下鉄東西線「二条」駅下車、1番出口から徒歩5分JR山陰線「二条」駅下車、徒歩8分〈四条堀川サイクルターミナル〉地下鉄烏丸線「四条」駅下車、徒歩10分阪急京都線「大宮」駅下車、徒歩3分、または同「烏丸」駅下車、徒歩8分〈五条堀川サイクルターミナル〉地下鉄烏丸線「五条」駅下車、徒歩10分JR嵯峨野線「丹波口」駅下車、徒歩15分〈ホテルエミオンサイクルターミナル〉JR嵯峨野線「梅小路京都西」駅下車、徒歩2分〈堀川下長者町サイクルターミナル〉地下鉄烏丸線「丸太町」駅下車、徒歩15分市バス「堀川下長者町」下車、徒歩2分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000003671,jp-kyoto,교토,JP,ブリキのおもちゃと人形博物館（TIN TOYS & DOLL MUSEUM）,ブリキのおもちゃと人形博物館（TIN TOYS & DOLL MUSEUM）,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003671,http://kyoto-tintoy.jp,"戦前・戦後の懐かしいブリキ玩具・セルロイド人形など15,000点のコレクションから約3,000点を常設展示。ペコちゃん、アトム、鉄人28号、企業キャラクターなどのコーナーもあり、特にブリキの国産車300台や、ウルトラ怪獣300体は必見です。常設展は月に1割ほど入れ替え、特別展も行っています。また、販売（店頭・ネット）、貸し出し、玩具探しなども行っています。詳細については、お問い合わせください。",관광시설,京都府京都市下京区四条堀川東入ル柏屋町22 クオン四条柏屋町301,35.003524,135.753084,,,中学生以上 500円小学生 300円園児 100円団体（10名以上）、身障者の方（手帳掲示）は50円引き,"ブリキのおもちゃと人形博物館（TIN TOYS & DOLL MUSEUM） / 戦前・戦後の懐かしいブリキ玩具・セルロイド人形など15,000点のコレクションから約3,000点を常設展示。ペコちゃん、アトム、鉄人28号、企業キャラクターなどのコーナーもあり、特にブリキの国産車300台や、ウルトラ怪獣300体は必見です。常設展は月に1割ほど入れ替え、特別展も行っています。また、販売（店頭・ネット）、 / 市バス「四条堀川」下車すぐ阪急京都線「大宮」駅下車、徒歩5分地下鉄烏丸線「四条」駅下車、徒歩8分",0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000003669,jp-kyoto,교토,JP,京都鉄道博物館,京都鉄道博物館,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003669,http://www.kyotorailwaymuseum.jp,平成28年4月、鉄道の歴史を通して日本の近代化のあゆみを体感していただける博物館として開館しました。「地域と歩む鉄道文化拠点」を基本コンセプトに様々な活動に取り組んでいます。53両の実物車両や本物のSLがけん引する客車の体験乗車や運転シミュレータ、模型の演出運転「鉄道ジオラマ」など、「見る、さわる、体験する」ことで誰もが楽しむことができる「学びの場」を目指します。,관광시설,京都府京都市下京区観喜寺町,34.986975,135.742845,,,"入館料 一般 1,200円（960円） 高校・大学生 1,000円（800円） 小・中学生 500円（400円） 幼児（3歳以上） 200円（100円）障がい者入館料 一般 600円 高校・大学生 500円 小・中学生 250円 幼児（3歳以上） 100円SLスチーム号乗車料金 大人（高校生以上） 300円 小人（3歳以上） 100円※中学・高校・大学生（専門学校、短期大学、高専を含む）は、学生証の掲示をお願いします。※障がい者手帳をご掲示のお客様と付添者1名様は「障がい者入館料」とさせていただきます。※（ ）内は団体（20名以上）料金",京都鉄道博物館 / 平成28年4月、鉄道の歴史を通して日本の近代化のあゆみを体感していただける博物館として開館しました。「地域と歩む鉄道文化拠点」を基本コンセプトに様々な活動に取り組んでいます。53両の実物車両や本物のSLがけん引する客車の体験乗車や運転シミュレータ、模型の演出運転「鉄道ジオラマ」など、「見る、さわる、体験する」ことで誰も / 市バス（86、88、104、110系統）「梅小路公園・京都鉄道博物館前」下車すぐ（86、88系統は土曜日・休日のみ運行）市バス（205、208系統）「梅小路公園・JR梅小路京都西駅前」下車、徒歩約3分JR嵯峨野線「梅小路京都西」駅下車、徒歩約2分各線「京都」駅下車、徒歩約20分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000001209,jp-kyoto,교토,JP,東本願寺（真宗本廟）,東本願寺（真宗本廟）,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000001209,http://www.higashihonganji.or.jp,真宗大谷派の本山、正式には真宗本廟という。慶長7年（1602）、本願寺第12代教如上人が、徳川家康から烏丸六条の土地を寄進され、東本願寺を創立した。江戸時代に4度の火災に遭い、現在の御影堂は、明治28年（1895）に再建されたものであり、世界最大級の木造建築である。2019年に、御影堂、阿弥陀堂など6棟が重要文化財に指定された。,관광시설,京都府京都市下京区烏丸通七条上る常葉町754,34.991038,135.758483,,,無料,東本願寺（真宗本廟） / 真宗大谷派の本山、正式には真宗本廟という。慶長7年（1602）、本願寺第12代教如上人が、徳川家康から烏丸六条の土地を寄進され、東本願寺を創立した。江戸時代に4度の火災に遭い、現在の御影堂は、明治28年（1895）に再建されたものであり、世界最大級の木造建築である。2019年に、御影堂、阿弥陀堂など6棟が重要文化財に指 / 各線「京都」駅下車、徒歩7分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000003668,jp-kyoto,교토,JP,風俗博物館,風俗博物館,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003668,http://www.iz2.or.jp/,源氏の館「六條院」の「春の御殿」を具現（四分の一）し、人形等により源氏物語の世界を体感できる。,관광시설,京都府京都市下京区堀川通新花屋町下る 井筒左女牛ビル5階,34.992973,135.753341,,,入館料一般 500円中学・高校・大学生 300円小学生 200円,風俗博物館 / 源氏の館「六條院」の「春の御殿」を具現（四分の一）し、人形等により源氏物語の世界を体感できる。 / 市バス「西本願寺前」下車、徒歩3分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000007553,jp-kyoto,교토,JP,龍谷大学 大宮学舎,龍谷大学 大宮学舎,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000007553,https://www.ryukoku.ac.jp/omiya.html,重文建築群の大宮学舎。龍谷大学は、寛永16年（1639）西本願寺境内に開設した教育施設「学寮」に源を発す。龍谷大学発祥の地である大宮学舎は明治12年（1879）竣工の本館をはじめ正門、旧守衛所、北黌、南黌、渡り廊下が国の重要文化財に指定されている。創建当初の建築物がほぼ完全な形で、しかも「群」として全体景観を形成していることは、明治建築物では珍しいといわれている。,관광시설,京都府京都市下京区七条通大宮東入大工町125-1,34.989860,135.749967,,,無料散策自由,龍谷大学 大宮学舎 / 重文建築群の大宮学舎。龍谷大学は、寛永16年（1639）西本願寺境内に開設した教育施設「学寮」に源を発す。龍谷大学発祥の地である大宮学舎は明治12年（1879）竣工の本館をはじめ正門、旧守衛所、北黌、南黌、渡り廊下が国の重要文化財に指定されている。創建当初の建築物がほぼ完全な形で、しかも「群」として全体景観を形成してい / 各線「京都」駅下車、徒歩10分,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
official-kyoto-facility-0000003419,jp-kyoto,교토,JP,梅小路公園,梅小路公園,,place,tourism_facility,kyoto_tourism_facilities_city_only,0000003419,http://www.kyoto-ga.jp/,市街地の中心にあって緑と花と人が憩える面積約13.7haの都市公園。「芝生広場」、「すざくゆめ広場」や「市電ひろば」などがあり、日本庭園「朱雀の庭」やビオトープ「いのちの森」もある。土曜日、日曜日と祝日には「チンチン電車」を運行。,관광시설,京都府京都市下京区観喜寺町,34.986638,135.745334,,,入場無料 ただし日本庭園「朱雀の庭」・「いのちの森」 200円「チンチン電車」1日乗車券 310円,梅小路公園 / 市街地の中心にあって緑と花と人が憩える面積約13.7haの都市公園。「芝生広場」、「すざくゆめ広場」や「市電ひろば」などがあり、日本庭園「朱雀の庭」やビオトープ「いのちの森」もある。土曜日、日曜日と祝日には「チンチン電車」を運行。 / 市バス「梅小路公園前」、または市バス「七条大宮・京都水族館前」、「梅小路公園・京都鉄道博物館前」下車JR嵯峨野線「梅小路京都西」駅下車,0.9,accepted,true,Kyoto Prefecture official tourism facility; filtered to municipality names starting with 京都市. Lodging/restaurant-like records are excluded from primary tourism-place anchors by name terms.
